id,client_id,card_brand,card_number,expires,cvv,credit_limit,acct_open_date,year_pin_last_changed,days_since_last_trx,count_nonfraud_trx_L6M,amt_nonfraud_trx_L6M,count_fraud_trx_L6M,amt_fraud_trx_L6M
23,318,Visa,4234128216675939,08/2028,678,Rp11.768.000,01/2006,2022,604,,,,
24,1274,Visa,4181524038316536,04/2027,2,Rp23.786.000,01/2006,2012,4,251.0,Rp217.885.900,,
25,528,Visa,4287552229905456,03/2027,482,Rp11.030.000,04/2003,2016,604,,,,
26,1195,Mastercard,5899977049289049,10/2026,747,Rp16.004.000,01/2007,2016,1,93.0,Rp72.574.200,,
27,68,Visa,"4,09962E+15",09/2027,74,Rp15.533.000,01/2007,2024,19,253.0,Rp233.034.000,,
28,1852,Visa,4013876625955765,10/2029,543,Rp57.151.000,01/2007,2009,28,487.0,Rp226.590.800,,
29,316,Visa,4934996934968532,04/2027,547,Rp1.883.000,01/2007,2016,4,79.0,Rp100.145.500,,
30,261,Visa,4572295668772647,04/2028,795,Rp22.280.000,01/2007,2011,29,337.0,Rp383.644.800,,
31,892,Visa,"4,47906E+15",11/2027,628,Rp22.499.000,01/2007,2014,604,,,,
33,1944,Visa,4803534694306012,09/2027,383,Rp17.416.000,01/2007,2014,12,206.0,Rp215.113.800,,
34,1731,Amex,375953550153829,12/2028,888,Rp21.495.000,01/2008,2022,22,40.0,Rp53.204.000,,
35,321,JCB,6707808786309873,01/2029,449,Rp17.416.000,01/2008,2009,45,19.0,Rp33.146.600,,
36,1391,Mastercard,5914243757284149,03/2030,436,Rp10.280.000,01/2008,2015,28,81.0,Rp48.683.900,,
37,840,Mastercard,5486901761554156,10/2029,258,Rp8.267.000,01/2008,2021,10,201.0,Rp400.172.900,,
38,115,Mastercard,5419421476993334,11/2030,290,Rp31.851.000,01/2008,2020,16,226.0,Rp398.445.700,,
39,696,Mastercard,5562768142811109,10/2030,267,Rp33.302.000,01/2008,2017,2,151.0,Rp189.663.800,,
40,1635,Mastercard,5488012775349767,01/2029,697,Rp7.891.000,01/2008,2014,604,,,,
41,1140,Mastercard,5586713288069328,07/2028,232,Rp26.673.000,01/2008,2014,27,211.0,Rp196.190.500,1.0,Rp281.800
42,825,Visa,4879494103069057,08/2030,693,Rp19.456.000,01/2008,2017,22,305.0,Rp463.064.700,,
43,1769,Visa,4088292829841504,06/2030,140,Rp15.219.000,01/2008,2025,5,302.0,Rp158.584.200,,
44,1267,Visa,4194403279790054,08/2030,282,Rp43.279.000,01/2008,2013,11,131.0,Rp166.476.800,,
45,1571,Visa,4137249838027633,04/2029,861,Rp52.389.000,01/2008,2012,19,83.0,Rp109.172.800,,
47,674,Visa,4462302223450825,07/2026,869,Rp12.552.000,04/2003,2013,604,,,,
48,1695,Amex,334769960118945,06/2026,735,Rp6.433.000,01/2009,2009,25,77.0,Rp79.675.400,,
49,16,Mastercard,5289860104321083,12/2031,59,Rp2.471.000,01/2009,2010,18,80.0,Rp66.857.200,,
50,994,Mastercard,5313764903937416,01/2031,767,Rp9.414.000,08/2007,2015,604,,,,
51,584,Mastercard,5556324903959052,12/2029,331,Rp14.074.000,01/2009,2015,15,375.0,Rp102.473.000,,
52,1530,Mastercard,5557818075031918,01/2027,978,Rp784.000,01/2009,2013,29,67.0,Rp17.715.100,,
53,905,Mastercard,5360731476529064,12/2029,898,Rp100.920.000,01/2009,2012,4,128.0,Rp110.189.700,,
54,1364,Mastercard,5673928924089109,01/2022,821,Rp0,01/2009,2013,604,,,,
55,62,Mastercard,5966550024798424,09/2030,577,Rp30.142.000,01/2009,2020,11,118.0,Rp53.801.200,,
57,1092,Mastercard,5575214152731773,09/2030,88,Rp7.133.000,01/2009,2015,604,,,,
58,241,Mastercard,5337331365480778,11/2028,672,Rp20.179.000,01/2009,2013,14,133.0,Rp60.518.900,,
59,1352,Visa,4969931231497491,11/2025,728,Rp19.656.000,01/2009,2017,16,155.0,Rp96.849.400,,
60,63,Visa,4840372814737208,11/2028,357,Rp26.802.000,01/2009,2016,11,203.0,Rp52.314.000,1.0,Rp123.300
62,234,Visa,4651180699756033,02/2030,460,Rp19.769.000,01/2009,2016,6,108.0,Rp96.154.700,,
63,275,Visa,4651206649559689,04/2029,125,Rp48.468.000,01/2009,2016,13,559.0,Rp346.100.200,,
64,929,Amex,375292277672255,03/2027,667,Rp56.798.000,01/2010,2012,604,,,,
65,1357,Amex,302737588175602,04/2026,900,Rp22.907.000,01/2010,2019,18,66.0,Rp59.312.700,,
66,1430,JCB,6955304802437571,03/2026,792,Rp19.142.000,01/2010,2018,5,47.0,Rp89.812.500,,
67,1296,Mastercard,5181226307106931,11/2030,820,Rp24.320.000,01/2010,2019,26,205.0,Rp95.299.700,,
68,645,Mastercard,5148390223991031,04/2027,316,Rp14.587.000,01/2010,2017,604,,,,
69,826,Mastercard,"5,01951E+15",05/2030,508,Rp21.809.000,01/2010,2017,20,150.0,Rp153.186.500,1.0,Rp916.600
70,1993,Mastercard,5703701005597044,09/2030,789,Rp30.596.000,01/2010,2015,16,69.0,Rp101.695.900,,
71,440,Mastercard,5336536496743892,10/2027,805,Rp57.620.000,01/2010,2015,604,,,,
72,1517,Mastercard,5515747009144505,01/2030,306,Rp30.862.000,01/2010,2014,1,262.0,Rp159.120.500,,
73,1697,Mastercard,5683833994969618,11/2030,884,Rp21.392.000,04/2006,2016,604,,,,
74,1175,Mastercard,5479439443272548,01/2026,248,Rp16.741.000,01/2010,2014,604,,,,
76,462,Mastercard,5131584971414266,07/2027,655,Rp41.269.000,01/2010,2013,30,8.0,Rp2.547.200,,
78,1514,Mastercard,5602736350449912,12/2030,673,Rp2.896.000,01/2010,2010,11,127.0,Rp78.031.200,,
79,1116,Visa,4400056931148232,02/2027,497,Rp25.261.000,01/2010,2019,6,199.0,Rp323.196.100,,
81,1346,Visa,4509891646969778,03/2030,503,Rp2.354.000,01/2010,2014,604,,,,
82,957,Visa,"4,82324E+15",10/2027,123,Rp45.057.000,01/2010,2019,29,184.0,Rp103.447.000,,
83,774,Visa,4983985291771434,05/2030,805,Rp26.229.000,01/2010,2011,0,195.0,Rp126.108.800,,
84,868,Visa,4639713693974383,02/2029,69,Rp3.328.000,01/2010,2014,26,127.0,Rp126.407.800,,
85,1236,Visa,4386430445774428,05/2030,555,Rp1.991.000,01/2010,2018,22,132.0,Rp48.218.000,,
86,284,Visa,4529536293051711,07/2029,124,Rp28.666.000,01/2010,2016,604,,,,
87,139,Visa,4276460060200386,08/2028,264,Rp32.889.000,01/2010,2016,604,,,,
88,1390,Amex,343439312469610,03/2029,98,Rp33.577.000,01/2011,2016,604,,,,
89,1959,Amex,398744318776089,02/2027,992,Rp17.416.000,01/2011,2014,6,259.0,Rp387.474.400,,
90,852,Amex,377759808724051,10/2029,360,Rp16.161.000,01/2011,2018,23,227.0,Rp110.127.000,,
91,1187,Amex,307297025936750,12/2026,918,Rp18.985.000,01/2011,2016,24,193.0,Rp149.286.100,,
92,1130,Amex,366703189364969,01/2030,3,Rp21.182.000,01/2011,2015,10,212.0,Rp217.254.000,2.0,Rp60.900
93,311,JCB,"6,12985E+15",08/2030,972,Rp2.824.000,01/2011,2012,26,178.0,Rp94.150.500,,
94,1684,Mastercard,"5,76188E+15",06/2028,312,Rp14.534.000,01/2011,2015,0,203.0,Rp90.949.200,,
96,81,Mastercard,5810850276328483,01/2023,877,Rp0,01/2011,2017,604,,,,
97,946,Mastercard,5079585270593856,02/2027,606,Rp20.279.000,01/2011,2015,11,464.0,Rp126.263.000,,
98,549,Mastercard,5231421564510111,12/2030,865,Rp24.188.000,01/2011,2019,22,120.0,Rp108.721.000,,
99,248,Mastercard,5145532394563662,10/2026,369,Rp19.231.000,01/2011,2015,23,47.0,Rp34.650.000,,
100,1822,Mastercard,5279713794719682,09/2027,47,Rp22.175.000,01/2011,2015,604,,,,
102,1129,Mastercard,5874992802287595,05/2026,256,Rp23.224.000,01/2011,2013,26,343.0,Rp233.670.900,,
103,1461,Mastercard,5625472759967842,10/2029,564,Rp9.786.000,01/2011,2012,4,205.0,Rp89.915.000,,
104,257,Mastercard,5556746533263402,10/2030,516,Rp10.034.000,01/2011,2019,24,78.0,Rp66.074.000,,
105,783,Mastercard,5084097673104529,05/2027,908,Rp8.786.000,10/2007,2013,604,,,,
106,517,Mastercard,5781831200471526,04/2027,342,Rp7.845.000,01/2011,2021,16,157.0,Rp88.478.700,,
107,153,Visa,4382324870900908,05/2029,852,Rp50.352.000,01/2011,2015,2,89.0,Rp62.968.800,,
108,1520,Visa,4515587053760939,05/2029,983,Rp15.376.000,01/2011,2020,7,242.0,Rp275.285.500,,
109,87,Visa,4372177587368958,05/2028,450,Rp9.885.000,01/2011,2016,23,486.0,Rp244.560.500,,
110,103,Visa,4891248998438646,04/2029,860,Rp32.241.000,01/2011,2012,19,79.0,Rp53.298.100,1.0,Rp29.000
111,1307,Visa,4212262433992065,10/2027,186,Rp27.112.000,01/2011,2017,19,250.0,Rp290.713.500,1.0,Rp1.530.400
112,442,Visa,4420834293443756,02/2026,403,Rp63.362.000,01/2011,2011,27,169.0,Rp113.210.200,,
113,1736,Visa,4870854561726482,06/2027,880,Rp37.077.000,01/2011,2019,25,377.0,Rp125.184.500,,
114,1695,Visa,4038689742921264,12/2027,770,Rp4.473.000,01/2011,2012,9,125.0,Rp106.038.900,,
115,1635,Visa,4237044992015683,10/2028,443,Rp39.030.000,01/2011,2014,5,249.0,Rp75.003.400,,
116,1175,Visa,4887547650218596,03/2030,281,Rp13.222.000,01/2011,2019,604,,,,
117,1458,Visa,4529699535483304,05/2027,329,Rp17.231.000,01/2011,2016,11,115.0,Rp86.665.800,,
118,376,Visa,4472791439889132,10/2026,900,Rp39.696.000,01/2011,2014,1,428.0,Rp447.703.700,,
119,779,Visa,4906021631955321,01/2030,889,Rp29.635.000,01/2011,2019,10,199.0,Rp127.792.100,,
120,459,Visa,4115517902859173,02/2026,685,Rp10.983.000,01/2011,2023,13,68.0,Rp56.398.100,,
121,984,Visa,"4,16314E+15",05/2030,949,Rp16.631.000,01/2011,2020,5,85.0,Rp134.154.500,,
122,1227,Amex,349565330549626,04/2026,178,Rp22.907.000,01/2012,2012,15,179.0,Rp170.659.700,,
123,280,Amex,340690023329145,09/2028,921,Rp21.338.000,05/2007,2014,604,,,,
124,629,Amex,335499499050062,11/2026,520,Rp32.792.000,01/2012,2012,7,206.0,Rp395.136.500,,
125,546,Amex,391488790203553,06/2026,195,Rp28.085.000,01/2012,2015,9,169.0,Rp205.341.800,,
126,1448,Mastercard,5571363047071896,09/2029,510,Rp20.711.000,01/2012,2020,18,174.0,Rp131.427.300,,
127,820,Mastercard,5738964942904646,11/2026,730,Rp32.571.000,01/2012,2014,29,368.0,Rp241.971.200,,
129,639,Mastercard,5903118148557393,11/2028,939,Rp22.211.000,01/2012,2023,11,366.0,Rp129.083.000,,
130,1031,Mastercard,5438397481754732,05/2027,868,Rp39.351.000,01/2012,2017,29,71.0,Rp29.211.100,1.0,Rp1.443.800
131,1195,Mastercard,5516369728570927,10/2028,822,Rp16.269.000,01/2012,2016,11,198.0,Rp118.052.100,,
132,249,Mastercard,5956371730449671,07/2030,475,Rp14.592.000,01/2012,2015,26,58.0,Rp43.004.300,,
133,1744,Mastercard,5802694499966898,12/2028,808,Rp15.340.000,01/2012,2014,18,77.0,Rp32.599.800,,
134,1676,Mastercard,5828285674944288,08/2030,192,Rp27.238.000,01/2012,2015,23,163.0,Rp67.412.400,,
135,478,Mastercard,5833433820016742,02/2030,624,Rp30.224.000,01/2012,2016,8,241.0,Rp144.154.300,3.0,Rp5.281.300
136,1181,Mastercard,5627821887128376,07/2026,309,Rp18.826.000,01/2012,2020,5,99.0,Rp66.001.100,,
137,495,Mastercard,5291637236164085,06/2028,568,Rp21.608.000,06/2008,2014,604,,,,
138,1094,Visa,4556928160477229,06/2029,64,Rp3.711.000,01/2012,2014,14,149.0,Rp126.147.500,1.0,Rp2.361.300
139,1028,Visa,4838655730073777,01/2027,654,Rp38.597.000,01/2012,2016,0,224.0,Rp321.055.900,,
140,1263,Visa,4195281570309951,12/2026,740,Rp25.909.000,01/2012,2016,25,192.0,Rp135.455.300,,
141,442,Visa,4543954544652846,06/2030,124,Rp53.445.000,01/2012,2014,31,190.0,Rp152.460.900,,
142,1757,Visa,4064761360050851,07/2028,528,Rp20.711.000,01/2012,2012,2,110.0,Rp49.273.800,1.0,Rp38.300
143,1360,Visa,4142865741084776,08/2026,302,Rp14.121.000,01/2012,2012,15,108.0,Rp48.348.400,,
144,560,Visa,4905889899631048,01/2026,87,Rp26.111.000,01/2012,2017,604,,,,
145,884,Visa,4603341026600188,10/2026,611,Rp1.745.000,01/2012,2018,22,63.0,Rp30.259.500,,
147,256,Visa,4577476596554924,06/2026,553,Rp22.437.000,12/2010,2012,10,26.0,Rp25.026.600,,
148,737,Visa,4400094918183273,06/2026,700,Rp10.652.000,01/2012,2014,19,855.0,Rp519.517.300,,
149,303,Amex,336029900720764,10/2026,696,Rp22.750.000,01/2013,2016,24,135.0,Rp158.983.000,,
150,430,Amex,320312548990885,08/2029,628,Rp14.435.000,01/2013,2014,20,59.0,Rp63.351.000,,
151,1747,Mastercard,"5,89201E+15",08/2028,879,Rp22.749.000,01/2013,2013,604,,,,
152,140,Mastercard,5845373196638993,09/2028,111,Rp21.089.000,01/2013,2016,21,181.0,Rp62.816.900,1.0,Rp5.600
153,1728,Mastercard,5042804591987313,03/2029,431,Rp3.028.000,01/2013,2020,3,161.0,Rp118.908.700,,
154,1009,Mastercard,5166184234444186,02/2026,459,Rp13.336.000,01/2013,2014,27,117.0,Rp39.592.700,,
156,1300,Mastercard,5042100576719658,07/2028,939,Rp7.688.000,01/2013,2016,11,223.0,Rp114.809.900,,
157,1617,Mastercard,5907512722234563,12/2028,855,Rp6.030.000,01/2013,2014,2,129.0,Rp91.504.400,1.0,Rp2.220.400
158,813,Mastercard,"5,18837E+15",10/2027,649,Rp21.051.000,01/2013,2013,604,,,,
159,154,Mastercard,5175111743032898,08/2029,151,Rp19.702.000,03/2011,2018,10,55.0,Rp27.352.200,1.0,Rp3.903.700
160,837,Mastercard,5000790097162084,07/2030,232,Rp10.512.000,01/2013,2014,3,381.0,Rp242.393.200,1.0,Rp10.700
161,703,Mastercard,5388336417003781,02/2027,355,Rp12.709.000,01/2013,2014,604,,,,
162,642,Mastercard,5873966669352213,09/2030,809,Rp6.223.000,01/2013,2018,1,114.0,Rp91.838.500,1.0,Rp459.100
163,550,Mastercard,5413639113191403,04/2028,398,Rp6.590.000,01/2013,2013,2,188.0,Rp159.366.400,,
164,1189,Mastercard,5194782740689024,07/2026,83,Rp12.709.000,01/2013,2020,0,129.0,Rp100.925.000,,
166,1668,Mastercard,5550568534248004,07/2030,941,Rp37.204.000,01/2013,2014,9,163.0,Rp177.837.800,,
167,218,Mastercard,5226320820755917,04/2026,569,Rp14.592.000,01/2013,2013,28,114.0,Rp83.743.000,,
168,1562,Mastercard,5980129246400404,02/2030,42,Rp26.383.000,01/2013,2019,12,249.0,Rp91.188.100,1.0,Rp629.600
170,1370,Mastercard,5848792320156293,08/2026,354,Rp16.429.000,01/2013,2015,14,193.0,Rp116.414.800,,
171,7,Mastercard,5673440794177682,04/2029,44,Rp33.379.000,01/2013,2014,604,,,,
172,1284,Mastercard,5750484233286684,06/2029,222,Rp15.359.000,01/2013,2014,13,257.0,Rp260.576.000,,
173,1310,Visa,4737484014371342,08/2031,221,Rp8.630.000,02/2010,2013,604,,,,
174,217,Visa,4072893581482208,12/2026,578,Rp35.688.000,01/2013,2015,2,158.0,Rp66.711.100,,
175,1156,Visa,4860334220798378,02/2026,146,Rp95.866.000,01/2013,2015,3,125.0,Rp245.186.100,,
176,490,Visa,4654267845248719,10/2027,929,Rp47.450.000,01/2013,2018,17,279.0,Rp329.086.300,,
177,1459,Visa,4382384960777396,05/2026,622,Rp11.140.000,01/2013,2016,3,347.0,Rp129.364.800,,
178,1666,Visa,4081281007922347,05/2030,405,Rp27.308.000,01/2013,2017,17,320.0,Rp130.594.500,1.0,Rp2.722.800
179,677,Visa,4299314704025381,06/2026,215,Rp36.244.000,01/2013,2015,28,316.0,Rp325.415.500,,
180,416,Visa,4942437694778245,10/2026,805,Rp23.378.000,01/2013,2016,13,177.0,Rp99.649.700,,
181,980,Visa,4308765406643901,02/2029,699,Rp25.251.000,08/2011,2015,30,21.0,Rp10.996.800,,
182,1816,Visa,4646403746633735,03/2029,115,Rp35.535.000,01/2013,2020,19,148.0,Rp60.405.500,,
183,1306,Visa,4840631262367435,09/2029,686,Rp26.861.000,01/2013,2022,604,,,,
184,843,Visa,4441719525815769,12/2027,895,Rp16.467.000,01/2013,2016,7,69.0,Rp33.228.500,,
185,1659,Visa,4199299822093543,08/2027,515,Rp29.968.000,01/2013,2013,9,225.0,Rp177.398.500,,
186,612,Visa,4446204059905464,11/2026,745,Rp14.592.000,01/2013,2013,604,,,,
187,1535,Visa,4315296241283753,08/2027,887,Rp27.035.000,01/2013,2013,11,313.0,Rp165.226.700,,
188,932,Visa,4882749213560039,02/2028,251,Rp11.140.000,01/2013,2014,17,132.0,Rp114.110.600,,
189,11,Amex,320735955126194,11/2029,686,Rp23.535.000,01/2014,2016,26,89.0,Rp154.814.300,,
190,1995,Amex,316487244875963,08/2029,737,Rp15.219.000,01/2014,2014,12,104.0,Rp82.362.000,,
191,1091,Amex,386478516235378,03/2030,172,Rp27.928.000,01/2014,2014,9,71.0,Rp91.803.000,,
192,346,JCB,6690095408585366,11/2028,162,Rp22.594.000,01/2014,2014,7,60.0,Rp64.568.200,2.0,Rp1.316.200
193,875,JCB,"6,67075E+15",08/2028,213,Rp22.437.000,01/2014,2015,17,46.0,Rp26.127.200,,
194,1206,Mastercard,5328878941102916,10/2027,847,Rp27.301.000,01/2014,2015,604,,,,
196,1031,Mastercard,5301525411053274,06/2030,424,Rp19.612.000,07/2012,2014,4,16.0,Rp37.872.200,,
197,123,Mastercard,5518456077758792,06/2026,995,Rp37.763.000,01/2014,2014,22,297.0,Rp117.161.200,,
198,1015,Mastercard,5656999344150658,10/2030,761,Rp104.776.000,01/2014,2016,604,,,,
199,658,Mastercard,5342017674521143,08/2030,200,Rp35.682.000,01/2014,2014,26,436.0,Rp240.698.300,1.0,Rp1.465.900
201,1072,Mastercard,5840476864492037,03/2026,155,Rp9.925.000,01/2014,2015,6,619.0,Rp408.798.400,,
202,1054,Mastercard,5913847569907564,03/2030,237,Rp23.692.000,01/2014,2014,29,165.0,Rp76.336.100,1.0,Rp564.800
203,1433,Mastercard,5346665102858338,01/2030,734,Rp7.114.000,01/2014,2015,27,449.0,Rp235.390.800,,
204,738,Mastercard,5186294128669152,06/2029,648,Rp34.513.000,01/2014,2016,22,298.0,Rp235.824.200,,
205,1947,Mastercard,"5,67172E+15",07/2028,733,Rp18.800.000,01/2014,2018,604,,,,
207,217,Visa,4409790595650716,10/2027,839,Rp12.866.000,05/2012,2016,19,18.0,Rp19.967.500,,
208,299,Visa,4282874431983773,05/2026,127,Rp20.411.000,01/2014,2014,8,80.0,Rp72.503.000,,
209,1334,Visa,4144931322114018,02/2029,312,Rp14.592.000,01/2014,2014,32,41.0,Rp51.009.700,,
210,1204,Visa,4780113572248864,10/2028,498,Rp57.490.000,01/2014,2014,18,139.0,Rp186.643.000,,
211,581,Visa,4566018104845496,08/2026,490,Rp19.752.000,01/2014,2016,30,152.0,Rp75.101.700,,
212,605,Visa,4542762527059522,12/2028,70,Rp21.182.000,01/2014,2014,29,262.0,Rp108.711.000,,
213,804,Visa,4108680950969751,10/2027,988,Rp8.473.000,08/2012,2016,26,37.0,Rp29.164.400,,
214,1077,Visa,4411367352091205,04/2026,508,Rp31.559.000,01/2014,2014,20,596.0,Rp250.330.900,,
215,801,Visa,4237390837653269,09/2030,620,Rp13.493.000,01/2014,2015,26,73.0,Rp49.644.300,,
216,1398,Visa,4290693805811514,12/2027,32,Rp36.702.000,01/2014,2016,39,123.0,Rp77.489.900,1.0,Rp5.731.100
217,895,Visa,"4,41917E+15",11/2029,167,Rp16.161.000,01/2014,2018,21,188.0,Rp159.424.100,,
218,1105,Visa,4755440234138028,10/2026,584,Rp7.071.000,01/2014,2024,27,228.0,Rp210.398.400,,
220,932,Visa,4759540467704662,06/2025,306,Rp9.734.000,01/2014,2020,30,140.0,Rp89.981.900,,
221,846,Amex,371624685132627,10/2028,297,Rp28.870.000,01/2015,2020,22,337.0,Rp196.590.400,,
222,1815,Amex,371091834390039,02/2026,858,Rp27.928.000,01/2015,2016,20,222.0,Rp189.013.800,,
223,299,Mastercard,"5,54183E+15",03/2030,143,Rp8.747.000,01/2015,2015,27,96.0,Rp48.721.900,,
224,1575,Mastercard,5107151477861238,06/2027,365,Rp36.112.000,01/2015,2015,0,680.0,Rp515.254.400,,
225,1078,Mastercard,5792661772040761,10/2029,862,Rp28.386.000,01/2015,2020,20,334.0,Rp309.119.800,,
226,729,Mastercard,5279503639469023,02/2026,613,Rp36.148.000,01/2015,2015,27,187.0,Rp77.226.100,1.0,Rp1.194.800
227,123,Mastercard,5329313809426347,11/2026,20,Rp18.988.000,01/2015,2015,28,274.0,Rp109.253.300,,
228,1541,Mastercard,5090352145878323,09/2030,699,Rp19.074.000,01/2015,2024,28,305.0,Rp113.260.500,1.0,Rp1.050.800
229,1749,Mastercard,5793881452789121,06/2025,784,Rp1.903.000,01/2015,2015,23,123.0,Rp102.245.400,1.0,Rp1.112.000
231,938,Mastercard,5664342346978782,09/2029,123,Rp19.612.000,01/2015,2017,28,577.0,Rp437.236.700,,
232,723,Mastercard,"5,73719E+15",02/2029,310,Rp21.227.000,01/2015,2015,25,126.0,Rp48.656.300,,
233,859,Mastercard,5753025722639048,09/2029,224,Rp13.807.000,01/2015,2015,12,203.0,Rp135.374.800,1.0,Rp312.400
234,1453,Mastercard,5453158719013768,12/2027,732,Rp6.489.000,11/2011,2015,7,113.0,Rp40.788.900,,
235,1439,Mastercard,5289852815253246,11/2027,351,Rp16.799.000,01/2015,2015,2,305.0,Rp87.933.400,1.0,Rp1.078.400
237,1141,Mastercard,5787921795028281,07/2026,29,Rp3.761.000,01/2015,2018,20,272.0,Rp103.091.400,,
238,1682,Mastercard,"5,97034E+15",10/2027,757,Rp20.711.000,01/2015,2019,30,48.0,Rp41.533.000,,
239,155,Mastercard,5290515548238201,12/2028,813,Rp14.582.000,01/2015,2016,3,145.0,Rp56.039.100,1.0,Rp1.561.200
240,218,Mastercard,"5,03103E+15",03/2030,565,Rp18.348.000,01/2015,2017,5,59.0,Rp22.859.200,,
241,1449,Mastercard,5134527149271246,02/2028,755,Rp17.976.000,01/2015,2021,29,204.0,Rp120.638.900,,
242,203,Visa,4716309780327853,07/2028,275,Rp14.278.000,01/2015,2015,8,109.0,Rp75.492.300,,
243,11,Visa,4144574679317199,03/2030,543,Rp26.999.000,01/2015,2021,19,177.0,Rp156.224.200,,
244,1206,Visa,4866080343433203,10/2029,1,Rp64.651.000,05/2010,2015,604,,,,
245,1546,Visa,4030476430498489,07/2029,437,Rp3.422.000,07/2013,2016,30,56.0,Rp23.092.100,,
247,50,Visa,4319140159818945,06/2029,418,Rp19.926.000,01/2015,2015,29,114.0,Rp80.881.600,,
248,319,Visa,4086497597276972,03/2027,383,Rp10.669.000,01/2015,2015,14,426.0,Rp418.526.900,,
249,1843,Visa,4348922167384229,06/2028,256,Rp13.653.000,01/2015,2019,13,230.0,Rp118.286.700,,
250,1451,Visa,4138363239181107,03/2029,48,Rp32.125.000,01/2015,2020,14,407.0,Rp298.190.900,,
251,649,Visa,4827129780511983,03/2030,941,Rp12.991.000,01/2015,2015,22,172.0,Rp52.681.900,2.0,Rp3.161.200
252,69,Visa,4565836303791159,09/2027,441,Rp6.119.000,01/2015,2015,26,59.0,Rp41.599.800,1.0,Rp278.200
253,332,Visa,4680771406185126,02/2031,913,Rp11.692.000,01/2013,2023,20,57.0,Rp20.843.100,,
254,1443,Visa,4384381555415272,10/2031,608,Rp6.234.000,01/2015,2021,3,183.0,Rp95.626.200,,
256,1470,Visa,4474584531104236,07/2026,20,Rp5.280.000,01/2015,2015,29,82.0,Rp46.110.100,1.0,Rp4.750.500
257,1856,Visa,"4,76609E+15",06/2027,750,Rp6.133.000,01/2015,2015,4,103.0,Rp50.389.500,,
258,209,Visa,4214239191578441,05/2026,231,Rp13.650.000,01/2015,2015,29,55.0,Rp22.746.400,2.0,Rp459.500
259,1837,Visa,4205821347854727,05/2026,679,Rp13.807.000,01/2015,2015,21,196.0,Rp127.931.500,,
260,1659,Visa,4419460752105618,02/2029,113,Rp28.424.000,01/2015,2015,10,238.0,Rp118.262.600,,
261,373,Visa,4139199465174934,10/2027,9,Rp10.493.000,01/2015,2021,26,312.0,Rp83.021.200,,
262,590,Visa,4770207045170231,11/2028,959,Rp11.993.000,01/2015,2015,604,,,,
263,986,Visa,"4,35122E+15",12/2026,302,Rp42.860.000,08/2012,2015,22,53.0,Rp11.114.300,,
264,1476,Amex,351118771819506,05/2027,551,Rp16.318.000,01/2016,2016,604,,,,
